year,value_cop,source_url
2011,535600,https://www.mintrabajo.gov.co/relaciones-laborales/salarios
2012,566700,https://www.mintrabajo.gov.co/relaciones-laborales/salarios
2013,589500,https://www.mintrabajo.gov.co/relaciones-laborales/salarios
2014,616000,https://www.mintrabajo.gov.co/relaciones-laborales/salarios
2015,644350,https://www.mintrabajo.gov.co/relaciones-laborales/salarios
2016,689455,https://www.mintrabajo.gov.co/relaciones-laborales/salarios
2017,737717,https://www.mintrabajo.gov.co/relaciones-laborales/salarios
2018,781242,https://www.mintrabajo.gov.co/relaciones-laborales/salarios
2019,828116,https://www.mintrabajo.gov.co/relaciones-laborales/salarios
2020,877803,https://www.mintrabajo.gov.co/relaciones-laborales/salarios
2021,908526,https://www.mintrabajo.gov.co/relaciones-laborales/salarios
2022,1000000,https://www.mintrabajo.gov.co/relaciones-laborales/salarios
2023,1160000,https://www.mintrabajo.gov.co/relaciones-laborales/salarios
2024,1300000,https://www.mintrabajo.gov.co/relaciones-laborales/salarios
2025,1423500,https://www.mintrabajo.gov.co/relaciones-laborales/salarios
2026,1750905,https://www.presidencia.gov.co/prensa/Paginas/Salario-vital-2-000-000-a-partir-de-enero-de-2026-251230.aspx
